Rat ID,Date,BlindFlag,File,Rat #,Age,Trial,TrialType,Duration (sec),CIPL (m*sec),Avg. Velocity (cm/sec),Slide
1,10/3/2007,n,010307a.rat,11,9,1,Spatial,60,48.22,14.7,0
1,10/3/2007,n,010307a.rat,11,9,2,Spatial,60,45.39,14.2,0
1,10/3/2007,n,010307a.rat,11,9,3,Spatial,60,41.63,20.1,0
1,10/3/2007,n,010307a.rat,11,9,4,Spatial,60,43.56,19.5,0
1,10/3/2007,n,010307a.rat,11,9,5,Spatial,60,41.11,24.2,0
1,10/3/2007,n,010307a.rat,11,9,6,Spatial,7.3,1.47,25.6,0
1,10/3/2007,n,010307a.rat,11,9,7,Spatial,60,43.25,25.6,0
1,10/3/2007,n,010307a.rat,11,9,8,Spatial,12.4,5.69,26,0
1,10/3/2007,n,010307a.rat,11,9,9,Spatial,1.4,-0.05,28.9,0
1,10/3/2007,n,010307a.rat,11,9,10,Spatial,40.5,16.16,25.2,0
1,10/3/2007,n,010307a.rat,11,9,11,Spatial,33.2,19.58,28.4,0
1,10/3/2007,n,010307a.rat,11,9,12,Spatial,15.9,8.77,28.8,0
1,10/3/2007,n,010307a.rat,11,9,13,Spatial,41.5,27.13,29.8,0
1,10/3/2007,n,010307a.rat,11,9,14,Spatial,19.1,11.92,28.7,0
1,10/3/2007,n,010307a.rat,11,9,15,Spatial,17.1,6.75,27.9,0
1,10/3/2007,n,010307a.rat,11,9,16,Spatial,6.8,0.81,25.8,0
1,10/3/2007,n,010307a.rat,11,9,17,Spatial,7.1,2.26,31.1,0
1,10/3/2007,n,010307a.rat,11,9,18,Spatial,6.3,2.67,28.8,0
1,10/3/2007,n,010307a.rat,11,9,19,Spatial,3.5,0.04,29.4,0
1,10/3/2007,n,010307a.rat,11,9,20,Spatial,3.5,0.43,29.3,0
1,10/3/2007,n,010307a.rat,11,9,21,Spatial,6.5,0.51,27.9,0
1,10/3/2007,n,010307a.rat,11,9,22,Spatial,3.8,0.53,31.5,0
1,10/3/2007,n,010307a.rat,11,9,23,Spatial,3.6,-0.01,30,0
1,10/3/2007,n,010307a.rat,11,9,24,Spatial,3.1,0.21,28.4,0
1,10/3/2007,n,010307a.rat,11,9,1,Probe,60,24.6,24.3,0
1,10/3/2007,n,010307a.rat,11,9,1,Visible,7.4,0.44,23.9,0
1,10/3/2007,n,010307a.rat,11,9,2,Visible,4.1,0.89,16.7,0
1,10/3/2007,n,010307a.rat,11,9,3,Visible,7.3,2.21,29.2,0
1,10/3/2007,n,010307a.rat,11,9,4,Visible,20.7,10.99,27.1,0
1,10/3/2007,n,010307a.rat,11,9,5,Visible,1.9,-0.1,36.4,0
1,10/3/2007,n,010307a.rat,11,9,6,Visible,6.2,0.66,29.8,0
1,10/3/2007,n,010307a.rat,11,9,7,Visible,1.5,-0.21,36.7,0
1,10/3/2007,n,010307a.rat,11,9,8,Visible,1.9,-0.06,30,0
1,10/3/2007,n,010307a.rat,11,9,9,Visible,11,4.8,28.1,0
1,10/3/2007,n,010307a.rat,11,9,10,Visible,2.9,-0.07,31.8,0
1,10/3/2007,n,010307a.rat,11,9,11,Visible,2.7,0.58,33.8,0
1,10/3/2007,n,010307a.rat,11,9,12,Visible,8.7,3.16,28.8,0
2,10/3/2007,n,010307a.rat,12,9,1,Spatial,43.2,29,18.2,0
